document_id,equipment_id,name,org_name,previous_status,new_status,matched_query,queries_tried_count,queries_tried,papers_count,error
eqnet-1030,eqnet-1030,NMR ( Bruker AVANCE III 600MHz クライオプローブ ),九州大学 先導物質化学研究所 物質機能評価センター,,ready,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1032,eqnet-1032,MALDI-TOF-Mass ( Bruker Autoflex ),九州大学 先導物質化学研究所 物質機能評価センター,,ready,"TITLE-ABS-KEY(""MALDI"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""MALDI"") AND DOCTYPE(ar OR cp)",3,
eqnet-1033,eqnet-1033,TOF-MS ( JEOL ESI-CSI_Mass JMS-T100CS ),九州大学 先導物質化学研究所 物質機能評価センター,,ready,"TITLE-ABS-KEY(""TOF"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""TOF"") AND DOCTYPE(ar OR cp)",3,
eqnet-1034,eqnet-1034,高分解能二重収束質量分析装置 (JMS-700 (2) MStation ),九州大学 先導物質化学研究所 物質機能評価センター,,ready,"TITLE-ABS-KEY(""JMS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""JMS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1041,eqnet-1041,X線光電子分光分析装置 XPS ( (ULVAC-PHI・APEX ESCA),九州大学 先導物質化学研究所 物質機能評価センター,,ready,"TITLE-ABS-KEY(""XPS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XPS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1042,eqnet-1042,共焦点レーザー顕微鏡-二光子 Carl Zeiss LS meta 510 confocal microscope,九州大学 先導物質化学研究所 物質機能評価センター,,ready,"TITLE-ABS-KEY(""Carl"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""Carl"") AND DOCTYPE(ar OR cp)",3,
eqnet-1043,eqnet-1043,走査電子顕微鏡(日立SU-3500),宮崎大学 産学・地域連携センター 機器分析支援部門,,ready,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1044,eqnet-1044,X'Pert PRO X線回折装置,宮崎大学 産学・地域連携センター 機器分析支援部門,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1045,eqnet-1045,RINT ULTIMA X線回析装置,宮崎大学 産学・地域連携センター 機器分析支援部門,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1046,eqnet-1046,核磁気共鳴装置(Bruker NMR 500),宮崎大学 産学・地域連携センター 機器分析支援部門,,ready,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1047,eqnet-1047,質量分析装置(Bruker autoflex III TOF-MS),宮崎大学 産学・地域連携センター 機器分析支援部門,,ready,"TITLE-ABS-KEY(""Bruker"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""Bruker"") AND DOCTYPE(ar OR cp)",3,
eqnet-1048,eqnet-1048,高周波プラズマ発光分光装置(ICPS-8100),宮崎大学 産学・地域連携センター 機器分析支援部門,,ready,"TITLE-ABS-KEY(""ICPS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""ICPS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1049,eqnet-1049,水銀ポロシメーター(島津・オートポアIV9500),宮崎大学 産学・地域連携センター 機器分析支援部門,,no_results_verified,"TITLE-ABS-KEY(""IV9500"") AND DOCTYPE(ar OR cp)",3,"TITLE-ABS-KEY(""IV9500"") AND DOCTYPE(ar OR cp) || TITLE-ABS-KEY(""IV9500"") AND TITLE-ABS-KEY(""比表面積/細孔分布 ポロシメータ、吸着料測定"") AND DOCTYPE(ar OR cp) || TITLE-ABS-KEY(""IV9500"") AND AFFIL(""宮崎大学"") AND DOCTYPE(ar OR cp)",0,
eqnet-1051,eqnet-1051,500MHz 核磁気共鳴装置(Brukar・AVANCE III HD 500),群馬大学 大学院理工学府,,ready,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1052,eqnet-1052,示差熱熱重量同時測定装置(セイコーインスツルメンツ・TG/FTA6200),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""TG"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""TG"") AND DOCTYPE(ar OR cp)",3,
eqnet-1053,eqnet-1053,粘弾性測定装置 (セイコーインスツルメンツ・DMS6100),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""DMS6100"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""DMS6100"") AND DOCTYPE(ar OR cp)",3,
eqnet-1054,eqnet-1054,示差走査熱量計(セイコーインスツルメンツ・DSC6100),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""DSC6100"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""DSC6100"") AND DOCTYPE(ar OR cp)",1,
eqnet-1055,eqnet-1055,示差走査熱量計(セイコーインスツルメンツ・DSC6200),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""DSC6200"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""DSC6200"") AND DOCTYPE(ar OR cp)",1,
eqnet-1056,eqnet-1056,熱機械的分析装置 (セイコーインスツルメンツ・TMA/SS6100),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""TMA"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""TMA"") AND DOCTYPE(ar OR cp)",3,
eqnet-1057,eqnet-1057,小型卓上試験機(SHIMADZU・EZ-test),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""SHIMADZU"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SHIMADZU"") AND DOCTYPE(ar OR cp)",3,
eqnet-1058,eqnet-1058,フーリエ変換赤外分光光度計(Thermo Scientific・Nicolet IS50FT-IR),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""FTIR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""FTIR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1059,eqnet-1059,円二色性分散計(日本分光・J-820),群馬大学 大学院理工学府,,ready,"TITLE-ABS-KEY(""J"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""J"") AND DOCTYPE(ar OR cp)",3,
eqnet-106,eqnet-106,核磁気共鳴装置 (日本電子(株)・ECA600),九州大学 先導物質化学研究所 物質機能評価センター,,ready,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1060,eqnet-1060,絶対PL粒子収率測定装置 (浜松ホトニクス・C9920-02),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""PL"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""PL"") AND DOCTYPE(ar OR cp)",3,
eqnet-1061,eqnet-1061,トリプル四重極質量分析系(ABI・API 2000 LC/MS/MS システム),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""LCMS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""LCMS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1062,eqnet-1062,有機微量元素分析装置(ヤナコテクニカルサイエンス・マイクロコーダー JM10 ),群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,ready,"TITLE-ABS-KEY(""JM10"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""JM10"") AND DOCTYPE(ar OR cp)",3,
eqnet-1063,eqnet-1063,核磁気共鳴装置(300MHz)(BRUKER AVANCE300),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1064,eqnet-1064,核磁気共鳴装置(500MHz)(BRUKER AVANCE500),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1065,eqnet-1065,核磁気共鳴装置(500MHz)(BRUKER AVANCE500T),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1066,eqnet-1066,高感度核磁気共鳴装置(400MHz)(BRUKER AVANCE400 + BRUKER QNP CryoProbe),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NMR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1067,eqnet-1067,高分解能磁場型質量分析装置(JEOL JMS-700),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""JEOL"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""JEOL"") AND DOCTYPE(ar OR cp)",3,
eqnet-1068,eqnet-1068,飛行時間型質量分析装置(BRUKER Autoflex),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""BRUKER"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""BRUKER"") AND DOCTYPE(ar OR cp)",3,
eqnet-1069,eqnet-1069,ナノフローLC質量分析装置(HITACHI nano-eLD),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""LCMS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""LCMS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1070,eqnet-1070,顕微レーザーラマン分光光度計(RENISHAW inVia),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""RENISHAW"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""RENISHAW"") AND DOCTYPE(ar OR cp)",3,
eqnet-1071,eqnet-1071,顕微フーリエ変換赤外分光光度計(BRUKER HYPERION 3000),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""FTIR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""FTIR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1072,eqnet-1072,汎用フーリエ変換赤外分光光度計(BRUKER TENSORII),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""FTIR"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""FTIR"") AND DOCTYPE(ar OR cp)",3,
eqnet-1073,eqnet-1073,誘導結合プラズマ発光分光分析装置(PerkinElmer OPTIMA 5300DV),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""PerkinElmer"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""PerkinElmer"") AND DOCTYPE(ar OR cp)",3,
eqnet-1074,eqnet-1074,パルス電子常磁性共鳴装置(BRUKER ELEXSYS E-580),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""BRUKER"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""BRUKER"") AND DOCTYPE(ar OR cp)",3,
eqnet-1075,eqnet-1075,電子常磁性共鳴装置(BRUKER EMX6/1),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""BRUKER"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""BRUKER"") AND DOCTYPE(ar OR cp)",3,
eqnet-1076,eqnet-1076,粉末X線回折装置(水平型)(RIGAKU UltimaIII),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1077,eqnet-1077,卓上型粉末X線回折装置(水平型)(BRUKER D2 PHASER),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1078,eqnet-1078,高速粉末X線回折装置(水平型)(BRUKER D8 ADVANCE ECO),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1079,eqnet-1079,多機能粉末X線回折装置(BRUKER D8 ADVANCE),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1080,eqnet-1080,高輝度二次元X線回折装置(BRUKER D8 DISCOVER),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1081,eqnet-1081,高輝度CCD型単結晶構造解析装置(BRUKER SMART APEXII ULTRA),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1082,eqnet-1082,CCD型単結晶構造解析装置(BRUKER SMART APEX),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1083,eqnet-1083,汎用走査型分析電子顕微鏡(HITACHI SU1510),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1084,eqnet-1084,低温低真空走査型分析電子顕微鏡(HITACHI S-3400N),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1085,eqnet-1085,高分解能走査型電子顕微鏡(HITACHI S-4100),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1086,eqnet-1086,超高分解能走査型分析電子顕微鏡(HITACHI S-4800),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1087,eqnet-1087,透過型分析電子顕微鏡(FEI Tecnai G2 20),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""TEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""TEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1088,eqnet-1088,走査型プローブ顕微鏡(BRUKER MultiMode8),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""AFM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""AFM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1089,eqnet-1089,共焦点レーザー顕微鏡(OLYMPUS FV1000-D),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""OLYMPUS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""OLYMPUS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1090,eqnet-1090,X線光電子分光装置(KRATOS AXIS-NOVA),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""XPS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XPS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1091,eqnet-1091,示差熱重量/熱機械分析装置(SII (現 HITACHI) TG/DTA6200 + TMA6100),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""SII"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SII"") AND DOCTYPE(ar OR cp)",3,
eqnet-1092,eqnet-1092,示差走査熱量分析装置(SII (現 HITACHI) DSC6200),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""SII"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SII"") AND DOCTYPE(ar OR cp)",3,
eqnet-1093,eqnet-1093,超音波顕微鏡(HITACHI HSAM220),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""HITACHI"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""HITACHI"") AND DOCTYPE(ar OR cp)",3,
eqnet-1094,eqnet-1094,高圧凍結装置(LEICA EM HPM100),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""LEICA"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""LEICA"") AND DOCTYPE(ar OR cp)",3,
eqnet-1095,eqnet-1095,オスミウムコーター(MEIWA Neoc-STB),埼玉大学 科学分析支援センター,,ready,"TITLE-ABS-KEY(""MEIWA"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""MEIWA"") AND DOCTYPE(ar OR cp)",3,
eqnet-1097,eqnet-1097,二重収束型質量分析装置(JEOL・JMS-600),横浜国立大学 移設または廃棄済設備,,ready,"TITLE-ABS-KEY(""JEOL"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""JEOL"") AND DOCTYPE(ar OR cp)",3,
eqnet-110,eqnet-110,DNA シークエンサ ABI社 PRISM 3130 Genetic Analyzer,佐賀大学 総合分析実験センター 総合分析実験センター,,ready,"TITLE-ABS-KEY(""DNA"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""DNA"") AND DOCTYPE(ar OR cp)",3,
eqnet-1109,eqnet-1109,グロー放電発光表面分析装置(堀場製作所 GD-Profiler2 Type-ST),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,ready,"TITLE-ABS-KEY(""GD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""GD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1111,eqnet-1111,X線解析装置(ブルカー・エイエックスエス製 D8DISCOVER-TUS),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1112,eqnet-1112,ラマン分光装置(日本分光(株) NRS-7100),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,ready,"TITLE-ABS-KEY(""NRS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""NRS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1113,eqnet-1113,電子線マイクロアナライザー(日本電子(株)JXA-8230T),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,ready,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1114,eqnet-1114,X線光電子分光分析装置(サーモフィッシャーサイエンティフィック ESCALAB250Xi),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,ready,"TITLE-ABS-KEY(""XPS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XPS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1115,eqnet-1115,磁気特性精密測定システム(米国カンタム・デザイン/MPMS-XL7UW、Helium3-r),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,ready,"TITLE-ABS-KEY(""MPMS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""MPMS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1116,eqnet-1116,高速高解像共焦点レーザー顕微鏡(ライカマイクロシステムズ(株) TCS SP8),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,ready,"TITLE-ABS-KEY(""TCS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""TCS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1117,eqnet-1117,イメージングサイトメーター(パーキンエルマー社 Operetta),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,ready,"TITLE-ABS-KEY(""Operetta"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""Operetta"") AND DOCTYPE(ar OR cp)",3,
eqnet-1118,eqnet-1118,ヘリウム再凝縮装置部 超低磁場測定部(カンタム・デザイン社製 C050JBYK(A)),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,no_results_verified,"TITLE-ABS-KEY(""C050JBYK"") AND DOCTYPE(ar OR cp)",3,"TITLE-ABS-KEY(""C050JBYK"") AND DOCTYPE(ar OR cp) || TITLE-ABS-KEY(""A"") AND TITLE-ABS-KEY(""磁気特性測定装置 SQUID, VSM"") AND DOCTYPE(ar OR cp) || TITLE-ABS-KEY(""C050JBYK"") AND AFFIL(""富山大学"") AND DOCTYPE(ar OR cp)",0,
