qFK82tR2HQOutQj1lW5a	"X線光電子分光装置"
eqnet-1016	"サーマルサイクラー(Bio-Rad・T100)"
eqnet-2644	"サーマルサイクラー(Bio-Rad・T100)"
eqnet-5131	"シェーカー New Brunswick Scientific G10"
eqnet-5130	"シェーカー New Brunswick Scientific innova2300 2"
eqnet-5129	"シェーカー New Brunswick Scientific innova2300 ➀"
eqnet-5123	"シェーカー TAITEC BR-23FP 2"
eqnet-5122	"シェーカー TAITEC BR-23FP ➀"
eqnet-4781	"シェーカー TAITEC BR-42FLー1号機 (1-7F) TAITEC(BR-42FL)"
eqnet-4782	"シェーカー TAITEC BR-42FLー2号機 (1-7F) TAITEC(BR-42FL)"
eqnet-5119	"シェーカー TAITEC BR-43FL 2"
eqnet-5121	"シェーカー TAITEC BR-43FL 4"
eqnet-5118	"シェーカー TAITEC BR-43FL ➀"
eqnet-5113	"シェーカー TAITEC BR-43FM 2"
eqnet-5114	"シェーカー TAITEC BR-43FM 3"
eqnet-5115	"シェーカー TAITEC BR-43FM 4"
eqnet-5116	"シェーカー TAITEC BR-43FM 5"
eqnet-5117	"シェーカー TAITEC BR-43FM 6"
eqnet-5112	"シェーカー TAITEC BR-43FM ➀"
eqnet-5125	"シェーカー TAITEC NR-150 2"
eqnet-5124	"シェーカー TAITEC NR-150 ➀"
eqnet-5126	"シェーカー TAITEC NR-3"
eqnet-5127	"シェーカー TAITEC NR-30"
eqnet-4600	"シングルセル解析プラットフォーム(Chromium iX) 10x Genomics(Chromium iX)"
4vrvQLCNlO4jBGxESXd7	"シングルセル解析装置 (10x Genomics ChromiumX)"
eqnet-5270	"シークエンサー ABI 3500xL-1号機 Thermo Fisher Scientific(Applied Biosystems 3500xL)"
eqnet-5271	"シークエンサー ABI 3500xL-2号機 Thermo Fisher Scientific(Applied Biosystems 3500xL)"
eqnet-3051	"シーメンスヘルスケア MAGNETOM Verio dot 3T"
eqnet-2207	"スパッタコーター(メイワフォーシス SC200)"
eqnet-2666	"スパッタリング蒸着装置(アルバック SPC-2000HC)"
eqnet-4231	"スパッタ装置(3FCR) アネルバ"
eqnet-4205	"スピンコーター(EB用 1H-360S) ミカサ(1H-360S)"
eqnet-4208	"スピンコーター(MS-A200) ミカサ(MS-A200)"
