eqnet-2430	"プロテインシーケンサ (SHIMADZU・PPSQ-51A)"
eqnet-4252	"人工光型小型 ファイトトロン M1 日本医化器械製作所(LPH-0.3PHH)"
eqnet-4981	"人工気象器 (NK式インキュベーターBioTRON)(株式会社 日本医化器機製作所 BioTRON LH-220S)"
eqnet-4676	"低エネルギー用Ge半導体検出器型ガンマ線スペクトル測定装置(SEIKO EG&G, LOAX-60450/30)"
eqnet-3697	"低温物性測定装置 Quantum Design社 PPMS"
eqnet-2157	"元素分析オンライン質量分析計 (サーモフィニガン・DELTA plus Advantage)"
SbY0dl8jrW8yhpNUFjat	"元素分析装置 (マイクロコーダー JM11)"
JgIuhrLTFl6pdeUcSKjG	"元素分析装置（EA）"
eqnet-1400	"先進ナノプラズマ制御システム NUシステム(株)製 NPS-100"
eqnet-4259	"光合成測定機器 Heinz Walz(DUAL-PAM-100)"
eqnet-4260	"全反射蛍光X線ウェーハ表面分析装置(TREX 610)"
w8oDlwep19Vynj1bYoFC	"全有機体炭素測定装置（TOC）"
eqnet-340	"全自動蛍光X線分析装置(フィリップスPW2400)"
eqnet-3827	"全自動電気泳動システム (Agilent 4150 TapeStation システム)"
eqnet-4589	"全自動電気泳動システム(4150 TapeStation) Agilent(4150 TapeStation System)"
eqnet-2323	"共焦点レーザースキャン顕微鏡 LSM510"
K9tiCDpaUXXiWRNRRVJq	"共焦点レーザー顕微鏡（CLSM）"
tkrfit6HY35uT0l6VbDE	"共焦点レーザー顕微鏡（ST8）"
eqnet-3410	"共焦点微小部蛍光X線分析装置(大気仕様)"
eqnet-3406	"共焦点微小部蛍光X線分析装置(真空仕様)"
eqnet-5148	"冷却遠心分離機 Hitachi CR20GIII"
eqnet-4636	"凍結乾燥機(EYALA FDU-2200)(No.1~4)"
eqnet-4637	"凍結乾燥機(EYALA FDU-2200)(No.5-8)"
eqnet-4837	"凝縮装置付きSQUID(米国カンタム・デザイン社MPMS-SQUID DC 磁気特性測定システム)"
eqnet-4223	"分光エリプソ(Si室) 大塚電子(FE-5000)"
eqnet-2746	"分光エリプソメータ(日本分光(株)製・M-220K)"
YAMANASHI-4c7c0c43c9	"分光エリプソメーター(JAW)"
YAMANASHI-SENTEC-SE800	"分光エリプソメーター(Sentec)"
o8tGV8vZmgB2Q4vmTXwe	"分光光度計 (FP-8300)"
oLxr1t4wDDsnr5DV3Vgq	"分光光度計 (FP-8600)"
eqnet-5109	"分光光度計 JASCO V-730 BIO"
ZyYpPjkW1ZMZx5AU5QAm	"分光光度計 株式会社島津製作所 UV-3600"
eqnet-3636	"分取HPLCシステム(LC-908-C60)"
eqnet-5039	"分子間相互作用測定装置 (BLItz)"
eqnet-2119	"分子間相互作用解析システム(オリンパス MF20)"
eqnet-2795	"分子間相互作用解析装置(GEヘルスケア Biacore T200) (表面プラズモン共鳴装置 SPR)"
eqnet-876	"分子間相互作用解析装置/GEヘルスケア Biacore J System"
