eqnet-3769	"(霞)超電導核磁気共鳴装置(Bruker AvanceIII HD500)"
eqnet-3812	"J-OCTA"
eqnet-3777	"JASCO・分取用HPLC"
eqnet-3779	"JASCO・蛍光検出器HPLC"
YAMANASHI-LCR-MODEL-6440B	"LCRメータ"
TOKUSHIMA-11	"MALDI-TOF-MS"
eqnet-909	"MALDI-TOF-MS(Bruker製 ultrafleXtreme)"
eqnet-5438	"MALDI-TOF-MS(日本電子・JMS-S3000)"
eqnet-1032	"MALDI-TOF-Mass ( Bruker Autoflex )"
eqnet-824	"MALDI-TOF/MSシステム(ブルカー・ダルトニクス株式会社・ultrafleXtreme, EASY-nLC, PROTEINEER fc II, ImagePrep)"
eqnet-97	"MALDI-TOF/TOF (ブルカーneofleX)"
eqnet-3634	"MALDI-TOFMS質量分析装置(Autoflex-maX)"
eqnet-3654	"MALDI-TOF質量分析装置 島津/KRATOS AXIMA-PERFORMANCE"
eqnet-460	"MALDI-TOF質量分析装置(Bruker Daltonics社製 microflex-KC Reflectron)"
eqnet-5060	"MALDI-mini-1(島津製作所) デジタルイオントラップ型質量分析計"
eqnet-3361	"MALDI型質量分析装置(AB SCIEX社製 TOF/TOF(TM) 5800system)"
eqnet-760	"MALDI質量分析装置 (Bruker Daltonics製・Autoflex speed TOF/TOF)"
eqnet-531	"MALDI質量分析装置(Bruker Japan ・autoflex maXリフレクタ )"
eqnet-75	"MCD磁気円二色性分散計 (日本分光(株)・MCD-414型+LD-403型)"
bHdRTjgTZ7eWrQA00Ejd	"MEX方式3Dプリンタ"
eqnet-5250	"MINION MK1C(Oxford Nanopore・MinION Mk1C)"
eqnet-461	"Maldi-Tof-Ms(Bruker UltraFlexIII)"
R5b0pxQNyUgJdKFBwK5n	"NMR(400MHz)－型式：AVANCE 400"
eDX9uS88nzDUo7DRFJox	"NMR(400MHz)－型式：AVANCE 400"
sjeeh9D6hgUrxujOXjKl	"NMR(500MHz)－型式：AVANCEⅢHD 500"
OAKDtGP8660BvXJUMMcH	"PAM-2500"
eqnet-4318	"PAMSポータブル粒度分布測定器(KANOMAX・3310)"
eqnet-5201	"PEAQ-ITCシステム"
tyBYGH1k8pDUw9tECAE3	"PH計"
eqnet-5052	"PLT unit エアーリークテスター(関東化学)"
eqnet-3452-fb111d82	"PRECISION ION POLISHING SYSTEM Model 691(Gatan)"
eqnet-4625	"Q150RES スパッタコーター"
eqnet-3718	"QUANTSTUDIO 3DデジタルPCRシステム"
eqnet-588	"Raman分光測定システムLab RAM ARAMIS((株)堀場製作所)"
eqnet-4204	"SEM前処理用スパッタ(SC-701AT) サンユー電子(SC-701AT)"
eqnet-3778	"SHIMADZU・フォトダイオードアレイHPLC"
TnIpRpbhRmgyLHWElK1H	"SLA光造形3Dプリンター"
eqnet-1765	"SQUID磁力計(Quantum Design・MPMS‐5P)"
eqnet-4227	"SiO2加工ドライエッチング(Si室) アネルバ"
VbUXL9NmSyTZUN6JxWSb	"TEM薄膜試料作製電解研磨装置"
eqnet-805	"TG-DTA(島津製作所・DTG-60)"
eqnet-5386	"TG-MS分析装置(TG-DTA8122 / JMS-Q1600GC・8890GC)"
eqnet-3650	"TGDSC-GCMS"
lLteoxmSah83XyZzsKSH	"TIG溶接機"
eqnet-1033	"TOF-MS ( JEOL ESI-CSI_Mass JMS-T100CS )"
wNEN1InjRracqmlcnCmq	"Tobii Proフュージョン"
AuJZka4IAxtV2M7FzN8U	"Triple-TOF型 質量分析装置（Triple-TOF-MS）"
KUMAMOTO-list5f-01	"ULSIバーチャルファクトリー"
eqnet-3454-fb111d82	"ULTRASONIC DISC CUTTER Model 601(GATAN)"
eqnet-5422	"Uni-temp (RSS-210-S)"
eqnet-3578	"Uni-temp(RSS-450-210-FA)"
eqnet-3405	"X/QバンドCW-ESR装置 (Bruker社製E500, F115室, Xバンドは3 K ~ 470 K、Qバンドは4 K~室温)"
eqnet-3408	"XバンドパルスESR装置(Bruker社製E380, G207A室)"
eqnet-4785	"X線CT 日立アロカ Latheta LCT200 日立アロカ(Latheta LCT-200)"
eqnet-3018	"X線CTスキャナ (キャノンメディカルシステムズ・Aquilion PRIME/Focus Edition)"
eqnet-2237	"X線マイクロCTスキャン(SKYSCAN SKYSCAN1172-GU)"
eqnet-3070-418a58df	"X線・ガンマ線照射装置"
